title_kor,year,genre_list,play_time,director,justwatch_rating,imdb_rating,imdb_rating_average,imdb_vote_count,synopsis,poster_src
스파이더맨: 파 프롬 홈,-2019,"['SF , 액션 , 코미디']",2시간 9분,Jon Watts,84%,7.4 (440k),7.4,4400,"어벤져스 멤버들과 타노스와의 대접전을 마친 뒤, 지난 5년 동안 사라졌던 사람들이 동시에 돌아왔다. 아이언맨이 떠난 채 한동안 지구를 구할 히어로가 공석인 상황을 수습할 히어로는 현재 스파이더맨 피터 파커뿐이다. 친구들과의 유럽 현장학습 도중 닉 퓨리의 부름을 받게 된 피터는 미스테리오라는 정체 모를 히어로와 힘을 합쳐 엘리멘탈이라는 괴생명체를 무찔러야 하는 상황에 처한다. 그런데 피터는 지구를 구하는 일보다 MJ에게 멋지게 고백할 계획이 우선인데...",https://images.justwatch.com/poster/130371627/s592
세상의 기원,-2020,"['코미디 , 드라마']",1시간 38분,Laurent Lafitte,66%,5.8,5.8,1,"난 분명 살아있는데 내 심장이 뛰질 않는다고? 쉼 없이 인생을 달려온 중년 남자에게 찾아온 미스터리. 영매는 그가 세상으로 나온 출구, 인간의 기원에 답이 있다는데. 그렇다면 그곳은...",https://images.justwatch.com/poster/229054156/s592
스파이더맨,-2002,"['판타지 , 로맨스 , 액션 , 드라마 , SF']",2시간 1분,Sam Raimi,82%,7.3 (779k),7.3,7790,"평범하고 내성적인 고등학생 피터 파커는 우연히 방사능에 감염된 거미에 물린다.그 후, 피터는 손에서 거미줄이 튀어 나오고 벽을 기어 오를 수 있는 거미와 같은 능력을 갖게 된다. 다가오는 위험을 본능적으로 감지하는 초감각과 엄청난 파워를 소유하게 된 것이다. 피터는 짝사랑하던 메리 제인의 관심을 끌기 위해 멋진 스포츠카를 구입하는데 초능력을 처음 사용한다. 그러다 사랑하는 벤 아저씨의 죽음을 계기로 그 힘을 악의 세력에 대항하는데 쓰기로 결심한다. 한편 피터의 절친 해리 오스본의 아버지인 노만은 실험 도중 가스에 중독되어 악의 화신 그린 고블린으로 변하는데...",https://images.justwatch.com/poster/184978760/s592
Interstelar,-2014,"['SF , 스릴러 , 드라마']",2시간 49분,Christopher Nolan,94%,8.6 (1m),8.6,10000,"세계 각국의 정부와 경제가 완전히 붕괴된 미래가 다가온다. 지난 20세기에 범한 잘못이 전 세계적인 식량 부족을 불러왔고, NASA도 해체되었다. 나사 소속 우주비행사였던 쿠퍼(매튜 매커너헤이)는 지구에 몰아친 식량난으로 옥수수나 키우며 살고 있다. 거센 황사가 몰아친 어느 날 알 수 없는 힘에 이끌려 딸과 함께 도착한 곳은 인류가 이주할 행성을 찾는 나사의 비밀본부. 이 때 시공간에 불가사의한 틈이 열리고, 이 곳을 탐험해 인류를 구해야 하는 임무를 위해 쿠퍼는 만류하는 딸을 뒤로한 채 우주선에 탑승한다.",https://images.justwatch.com/poster/224951289/s592
비포 선라이즈,-1995,"['로맨스 , 드라마 , Made in Europe']",1시간 45분,Richard Linklater,87%,8.1 (292k),8.1,2920,파리로 돌아가는 셀린과 비엔나로 향하는 제시. 기차 안에서 우연히 만난 그들은 짧은 시간에 서로에게 빠져든다. 그림 같은 도시와 꿈같은 대화 속에서 발견한  서로를 향한 강한 이끌림은 풋풋한 사랑으로 물들어 간다. 밤새도록 계속된 그들의 사랑 이야기 끝에 해가 떠오르기 시작하고 그들은 헤어져야만 하는데…,https://images.justwatch.com/poster/17354983/s592
아빠의 바이올린,-2022,['드라마'],1시간 52분,Anda? Haznedaro?lu,84%,6.4 (1k),6.4,10,"갑작스럽게 아빠를 잃고 고아가 된 소녀. 성공한 바이올린 연주자인 삼촌은 조카를 무뚝뚝하게 대하지만, 가족을 잃은 슬픔과 음악을 통한 교감을 나누며 둘은 마음의 문을 열기 시작한다.",https://images.justwatch.com/poster/260481604/s592
아라비아의 로렌스,-1962,"['드라마 , 전쟁 , 역사']",3시간 47분,David Lean,89%,8.3 (284k),8.3,2840,영국 정보국 소속 장교 로렌스(T.E. Lawrence: 피터 오툴 분)는 1차대전 중 중동지역의 전투에서 아랍 부족의 지원을 받기 위해 아랍 지역으로 파견된다. 그런데 그는 영국 정부가 바라던 것 이상으로 아랍의 지도자들을 사로 잡고 아랍의 독립을 위해 열심히 싸워 아랍 민족으로 부터 ‘아라비아의 로렌스’라는 영웅적인 칭호를 받게 된다. 그는 아랍 전사들을 이끌고 터키군들과 싸우면서 규율을 잡기 위해 남의 마을의 우물물을 마신 병사를 과감히 처형하는 등 독한 모습을 보여준다. 그러나 그의 그런 용맹성은 터키 군에게 포로로 잡힌 후 그곳에서 받은 성적 학대를 통해 병적으로 발전된다. 그리고 마침내 영국 정부의 소환을 받고 런던으로 돌아오지만 중동으로 보내 줄 것을 요구하면서 사막으로 돌아가길 원한다. 그러나 이미 정치적으로 타결이 된 아라비아 사막은 그를 원치 않았는데.,https://images.justwatch.com/poster/210181062/s592
제로 다크 서티,-2012,"['스릴러 , 드라마 , 역사 , 전쟁']",2시간 37분,Kathryn Bigelow,79%,7.4 (289k),7.4,2890,"칠흑같이 어두운 밤, 적외선 안경을 낀 특수부대를 태운 블랙호크 헬기 두대가 파키스탄 국경을 넘어 빈 라덴의 거처 앞마당에 내려앉는다. 빈 라덴을 잡을 생각만으로 이 악물고 버텨온 CIA 요원 마야(제시카 채스테인)가 고대해온 순간이다. 지난 10년간 알 카에다의 연락책이자 빈 라덴의 최측근인 한 남자를 추적하는 일에 매달려 온 그녀는 순수한 열정과 원칙에 따라 작전에 임하지만, 매번 어떤 실마리조차 찾지 못하는 상황에 좌절한다. 어느 날, 단서를 발견하게 된 그녀는 동료들과 함께 거래를 시도하지만 테러리스트들의 자폭 테러로 인해 가장 친한 동료마저 잃게 되는데...",https://images.justwatch.com/poster/206726249/s592
탑 건,-1986,"['드라마 , 액션']",1시간 50분,Tony Scott,77%,6.9 (317k),6.9,3170,"해군 최신예 전투기인 F-14기를 모는 젊은 조종사 매버릭 대위(톰 크루즈)는 훌륭한 전투기 조종사였던 아버지를 둔 패기만만한 파일럿 청년. 솜씨가 거칠기로 소문난 그는 탑 건 훈련학교에 입학하면서 인생의 전환을 맞게 된다. 가장 큰 변화는 항공물리학을 강의하는 여교관 찰리(켈리 맥길리스)와 사랑에 빠진 것. 하지만 매버릭이 조종하던 F-14 전투기가 비행 훈련 도중 그만 제트 기류에 빠지면서 엔진 고장을 일으키고, 이때 함께 탈출을 시도하던 구즈(안소니 에드워즈)가 사망하는 사고가 발생하고 마는데...",https://images.justwatch.com/poster/70251722/s592
올드보이,-2003,"['스릴러 , 액션 , 드라마']",2시간 0분,Park Chan-wook,91%,8.4 (553k),8.4,5530,"오대수는 어느 날 술이 거나하게 취해 집에 돌아가는 길에 누군가에게 납치, 사설 감금방에 갇히게 된다. 중국집 군만두만을 먹으며 8평이라는 제한된 공간에서 그가 할 수 있는 일이라곤 텔레비전 보는 게 전부. 1년이 지났을 무렵, 뉴스를 통해 나오는 아내의 살해소식. 게다가 아내의 살인범으로 자신이 지목되고 있음을 알게 된 오대수는 복수와 탈출을 위해 감금방 한쪽 구석을 쇠젓가락으로 파기 시작한다. 감금 15년을 맞이하는 해, 마침내 사람 몸 하나 빠져나갈 만큼의 탈출구가 생겼을 때, 어이없게도 15년 전 납치됐던 바로 그 장소로 풀려나 있는 자신을 발견하게 된다.",https://images.justwatch.com/poster/191617941/s592
네 명의 저녁 식사,-2022,"['코미디 , 로맨스']",1시간 44분,Alessio Maria Federici,73%,6.4 (2k),6.4,20,소울메이트가 부질없다는 로맨틱 코미디가 왔다. 가상의 현실을 배경으로 펼쳐지는 네 친구들의 색다른 커플 이야기. 다양한 커플 조합을 들여다보면 진짜 사랑의 모습이 보인다!,https://images.justwatch.com/poster/259494413/s592
세븐,-1995,"['스릴러 , 범죄 , 드라마']",2시간 7분,David Fincher,92%,8.6 (1m),8.6,10000,"은퇴를 7일 앞둔 관록의 형사 윌리엄 소머셋(모건 프리먼)과 새로 전근 온 신참내기 형사 밀스(브래드 피트)가 팀이 된 바로 다음날, 강압에 의해 위가 찢어질 때까지 먹다가 죽은 초고도 비만 남자와 역시 강압에 의해 식칼로 자기 살을 베어내 죽은 악덕 변호사의 사건과 마주한다. 식탐, 탐욕, 그리고 나태, 분노, 교만, 욕정, 시기. 소머셋은 현장에 남은 흔적들로 단테의 신곡과 쵸서의 캔터베리 서사시를 근거로 한 기나긴 연쇄 살인이 시작되었음을 직감하고 성서의 7가지 죄악을 따라 발생하는 사건들을 추적하기 시작하는데...",https://images.justwatch.com/poster/256291710/s592
