title_kor,year,genre_list,play_time,director,justwatch_rating,imdb_rating,imdb_rating_average,imdb_vote_count,synopsis,poster_src
부탁 하나만 들어줘,-2018,"['스릴러 , 코미디 , 범죄 , 드라마']",1시간 57분,Paul Feig,74%,6.8 (142k),6.8,1420,"멋진 커리어우먼, 매력적인 아내, 아름다운 엄마…  모든 걸 다 갖춘 완벽한 여자 에밀리가 사라졌다. 그리고 발견된 시체… 모든 것이 내 것이 됐다고 생각한 순간. 에밀리가 돌아왔다!",https://images.justwatch.com/poster/90894758/s592
13시간,-2016,"['스릴러 , 드라마 , 전쟁 , 액션 , 역사']",2시간 24분,Michael Bay,81%,7.3 (133k),7.3,1330,2012년 9월 11일 리비아에서 끔찍한 테러 사건이 발생한다. 벵가지 소재 미국 영사관에 총기와 수류탄을 든 수십 명의 무장 괴한들이 침입하는 충격적인 사건이 벌어진 것. 벵가지에서 비밀리에 작전을 수행하고 있던 CIA를 보호하기 위해 파견된 6명의 민간 특수 용병들은 남아있는 사람들을 구하기 위해 일촉즉발의 구출작전에 나서게 되는데…,https://images.justwatch.com/poster/184866271/s592
프라미싱 영 우먼,-2020,"['범죄 , 드라마 , 스릴러 , 코미디']",1시간 53분,Emerald Fennell,83%,7.5 (148k),7.5,1480,7년 전 의대를 중퇴하고 카페에서 일하는 카산드라는 남성이 몸을 가누기 힘들어하는 자신에게 접근해 합의되지 않은 성관계를 시도하려고 할 때 다시 취하지 않은 모습으로 돌아와 남성을 혼란에 빠뜨리고 밖으로 나와 버린다. 그가 이런 위험한 연극을 반복해온 데는 이유가 있다. 그 사연은 우연히 가게에 라이언이 방문해 카산드라에게 데이트를 신청하면서 점점 수면 위로 떠오른다.,https://images.justwatch.com/poster/239417560/s592
몽상가들,-2003,"['로맨스 , Made in Europe , 드라마 , 코미디']",1시간 52분,Bernardo Bertolucci,80%,7.2 (118k),7.2,1180,"자유를 외치는 젊은이들의 뜨거운 열기로 가득한 1968년 파리, 영화광인 미국인 유학생 매튜(마이클 피트)는 시네마테크에서 쌍둥이 남매 이사벨(에바 그린)과 테오(루이 가렐)를 만나 가까워진다. 부모가 휴가를 떠난 이사벨과 테오의 집에서 한 달 간 지내게 된 매튜는 영화와 음악, 책, 혁명 등의 이야기를 자유롭게 나누며 특별한 추억을 쌓는다. 자연스레 이사벨에게 사랑을 느끼게 되는 매튜, 하지만 이사벨은 테오와 떨어지려 하지 않고 세 사람의 은밀하고 특별한 관계는 계속되는데...",https://images.justwatch.com/poster/42356271/s592
베놈,-2018,"['액션 , SF , 스릴러']",1시간 52분,Ruben Fleischer,78%,6.7 (452k),6.7,4520,진실을 위해서라면 몸을 사리지 않고 사회의 부조리를 취재하는 정의로운 열혈 기자 에디 브록. 거대 기업 라이프 파운데이션의 생체실험에 의혹을 품고 뒤를 쫓던 그는 이들의 사무실에 잠입했다가 실험실에서 외계 생물체 심비오트의 기습 공격을 받게 된다. 심비오트가 숙주의 몸과 정신을 지배할 때 능력을 발휘하는 베놈은 에디의 몸에 기생하며 갖가지 소동을 일으킨다. 한편 비밀리에 인간과 심비오트를 결합해 새로운 생명체를 만들려는 시도를 계속하던 라이프 파운데이션의 회장 드레이크 또한 심비오트의 숙주가 된다.,https://images.justwatch.com/poster/245637413/s592
"틱, 틱... 붐!",-2021,['드라마'],2시간 1분,Lin-Manuel Miranda,86%,7.6 (67k),7.6,670,"뉴욕시에서 식당 웨이터로 일하는 한편, 명작을 쓰겠다는 희망으로 창작에 매진하는 뮤지컬 작곡가. 서른 살 생일과 중요 공연을 앞두고 심적 압박을 받는 상황에서도 사랑과 우정을 헤쳐나간다.",https://images.justwatch.com/poster/256537976/s592
덩케르크,-2017,"['액션 , 드라마 , 전쟁 , 역사 , 스릴러 , Made in Europe']",1시간 47분,Christopher Nolan,84%,7.8 (594k),7.8,5940,"제2차 세계대전 당시인 1940년, 프랑스 덩케르크 지역에서 진행된 연합군 구출 작전. 영화는 세개의 시공간을 동시에 진행시킨다. 도버 해협을 건너려는 영국군을 중심으로 한 잔교에서의 일주일, 민간 선박들의 자발적 참전과 차출이 이어지는 바다에서의 하루, 적기를 겨냥한 스피트파이어기 전투사가 있는 하늘에서의 한 시간. 전쟁의 전방위성, 공포의 상시성과 그 압도, 개별 공간을 떠난 공포의 유사성, 그 속의 다급함이 혼재되어 있는 가운데 전쟁과 죽음에의 공포와 생존을 향한 인간적 열망을 그린다.",https://images.justwatch.com/poster/14873522/s592
파워 오브 도그,-2021,"['서부 , 드라마 , 로맨스']",2시간 6분,Jane Campion,77%,6.9 (92k),6.9,920,"사람들을 억누르면서도 사람들을 끌어당기는 묘한 매력의 목장주. 그의 동생이 새로운 부인과 아들을 집으로 데려오자, 그들을 잔인하게 조롱하고 괴롭힌다. 예상치 못한 일이 그곳을 덮칠 때까지.",https://images.justwatch.com/poster/256283757/s592
이터널 선샤인,-2004,"['로맨스 , SF , 드라마']",1시간 48분,Michel Gondry,90%,8.3 (967k),8.3,9670,"조엘은 아픈 기억만을 지워준다는 라쿠나사를 찾아가 헤어진 연인 클레멘타인의 기억을 지우기로 결심한다. 기억이 사라져 갈수록 조엘은 사랑이 시작되던 순간, 행복한 기억들, 가슴 속에 각인된 추억들을 지우기 싫어지기만 하는데... 당신을 지우면 이 아픔도 사라질까요? 사랑은 그렇게 다시 기억된다.",https://images.justwatch.com/poster/256614657/s592
인비저블 게스트,-2017,"['스릴러 , 드라마 , 범죄 , Made in Europe']",1시간 47분,Oriol Paulo,89%,8.1 (166k),8.1,1660,"의문의 습격으로 살해 당한 ‘로라’ ‘아드리안’은 연인의 죽음에 절망하고, 범인은 흔적도 없이 사라졌다.  유력한 용의자로 누명을 쓴 ‘아드리안’은 승률 100%의 변호사 ‘버지니아’를 선임한다.  그리고 자신의 무죄를 입증하기 위해 고군분투하던 중  과거 그와 ‘로라’가 은폐한 교통사고와 숨겨진 연관성을 찾게 되는데…  남은 시간은 단 3시간, 사건을 재구성해 무죄를 입증해야 한다!",https://images.justwatch.com/poster/249359607/s592
